Judul ,Tahun,Nama Penulis ,Abstrak,Keywords
"TRANSMISI HARGA BERAS DI INDONESIA
PADA MASA PANDEMI COVID-19",2022,SYARIFA ASRIN,"The pandemic covid-19 has impacted global economy including Indonesia. In response to dealing with the spread of Covid-19 cases, Indonesian government has imposed social restrictions which directly impacts people’s economic activities including food sector. This study aims to analyze the transmission of rice prices from the producer level to the consumer level during the covid-19 pandemic. Price transmission describes the impact of changes in the price of an item at one market level on changes in the price of the item at another market level. The data used is daily time series data from March 2020 to March 2021. The data is analyzed using the Vector Autoregressive (VAR) approach. The VAR estimation results show that producer prices and consumer prices do not affect each other. The absence of price transmission between producers and consumers may indicate that government intervention to maintain rice prices during the Covid-19 pandemic has been effective.","covid-19, price transmission, rice, VAR"
"TRANSMISI HARGA KARET ALAM DI PASAR SINGAPURA
DENGAN PASAR PRODUSEN DI SUMATERA SELATAN",2022,ALMER TARUNA ARKANANDA,"The dynamic and rapid change in natural rubber prices at the producer level has made the price reference essential to help South Sumatra’s farmers develop their strategy in production management. Therefore, this study aims to prove the Singapore natural rubber market price as a reference. The monthly basis of secondary time series data from 2010-2020 was employed through the VECM methodological approach to prove abovementioned. The results showed that the price of natural rubber in the Singapore market affected the price of natural rubber in South Sumatra. Meanwhile, natural rubber price movement in the South Sumatra market did not affect the natural rubber price movement in the Singapore market. Based on the IRF analysis disclosed a price shock response phenomenon of this commodity in South Sumatra, which was influenced by the Singaporean market but would stable again after the seventh month.","natural rubber, price transmission, VECM method"
ANALISIS VOLATILITAS HARGA KEDELAI DI INDONESIA,2022,ADELIA MARGARETA,"Soybean is the main food commodity besides rice and corn which functions as a source of vegetable protein for the Indonesian people. Fluctuations in price variance will cause price volatility and have an impact on the food processing industry, one of which is the tofu and tempeh industry, which is a small industry with limited capital.. Therefore, it is necessary to anticipate the stability of soybean prices the government to minimize risks and uncertainties that will harm both soybean producers and consumers. This study aims to analyze the volatility of soybean prices, both local consumer and producer level soybeans and imported soybeans, as well as tofu and tempeh prices in Indonesia. The study uses monthly time series data from January 2010 to December 2021. The method used is ARCHGARCH to calculate the volatility of soybean price variables, both local soybeans at consumer and producer levels and imported soybeans, as well as prices of tofu and tempeh in Indonesia. The results showed that local soybean consumer prices were more volatile than imported soybean prices. Soybean prices at the producer level and tempeh prices show a low level of volatility, while tofu prices show a high level of volatility which will have a major influence on market dynamics.","ARCH-GARCH model, Indonesian soybean price, Volatility"
"PENGARUH PANDEMI COVID-19 TERHADAP HARGA
BERAS PROVINSI DI PULAU JAWA",2022,"RISKA TRI SUSANTI","The Covid-19 pandemic first appeared in the city of Wuhan and entered Indonesia in early 2020 and spread very rapidly, especially on the island of Java. The Covid19 pandemic has resulted in a decrease in Gross Domestic Product in several sectors in Indonesia, but data from BPS states that GDP growth in the agricultural sector from 2020 to 2021 grows consistently and positively. Growth in the agricultural sector occurred in several agricultural sub-sectors including rice food crops. Rice is a strategic food commodity of its availability to protect national security and to maintaining stability in Indonesia. This study aims to estimate the level of fluctuations in provincial rice prices in Java before and during the Covid-19 pandemic and the factors that affect provincial rice prices in Java in 201fromto 2021 using the panel data method. The results showed that rice price fluctuations in Java Island Province reached its peak at there beginning of the Covid-19 pandemic in the first quarter of 2020, but the next in quarter the fluctuations were lower due to a decline in public demand and purchasing power and the government's price stabilization policy. Rice prices in Java Island Province are influenced by international rice prices, per capita consumption, Government Purchase Prices, and Covid-19, while rice production has no effect on provincial rice prices in Java. In addition, in the short and long term, every increase in international rice prices, per capita consumption, HPP, and cases of Covid-19 will increase the price of rice while every increase in rice production will reduce the price of provincial rice in Java. Suggestions for government policy are the need for stabilizing rice prices by increasing rice production."," Covid-19, fluctuation, Java Island, panel data, provincial rice prices"
"MODEL PREDIKSI HARGA KOMODITAS CABAI MERAH
BESAR DAN KERITING DENGAN METODE LONG SHORT
TERM MEMORY",2022,RIZKY ABDULLAH FALAH,"Data from the Central Statistics Agency indicates the high level of production and consumption of red chili per capita in several provinces in Indonesia. Based on the monitoring of the Strategic Food Price Information Center from May 2018 to May 2021 the price of red chili fluctuated in 34 provinces, one of which was West Java province. The quantity of chili supply and the amount of demand imbalance needed by consumers causes price fluctuated. This study aims to build a predictive modeling of the price of large and curly red chilies in West Java Province using the Long Short Term Memory method. The red chili price prediction model using LSTM has been successfully formed and is considered representative enough to predict prices in traditional markets and modern markets in West Java Province. The best prediction model for the price of large and curly red chilies in traditional markets obtained the smallest RMSE values on the test data of 2.57% and 2.07%, respectively. Meanwhile, the best price prediction model in the modern market obtained the smallest RMSE values on the test data of 2.11% and 2.17%, respectively. Based on the RMSE value obtained, the model is better than the previous research method and shows that the variation in the value produced by a model is close to the variation in the actual value.","long short term memory, prediction model, price fluctuation, red chili"
"TRANSMISI HARGA BAWANG MERAH PADA SAAT
PANDEMI COVID-19",2022,NONA MAGDALENA,"Shallots are one of the important vegetable commodities for the people of Indonesia because of their function as the main cooking spice so that the demand for shallots tends to increase. During the Covid-19 pandemic, the price of shallots increased. The increase in the price of shallots is thought to be due to an abnormal distribution (the existence of Large-Scale Social Restrictions/PSBB) and the delayed planting season since 2019. This study aims to analyze the transmission of shallot prices at the producer and consumer levels during the Covid-19 pandemic. The data used is daily time series data from March 2020 to March 2021. The analysis uses the Vector Error Correction Model (VECM) approach. The results of the VECM estimation show that the price of shallots at the producer and consumer levels in the long run experiences one-way price transmission, where price changes that occur in consumers affect prices to producers. In the short term there is no price transmission. The existence of one-way price transmission in the long term and the absence of short-term price transmission between producers and consumers may indicate that shallot marketing institutions in Indonesia are inefficient during the Covid-19 pandemic.","Covid-19 Pandemic, Price Transmission, Shallots, VECM"
"ANALISIS FAKTOR-FAKTOR YANG MEMENGARUHI
HARGA DAGING SAPI DI JAWA BARAT",2022,PUTU KANIA RAIHAN,"Beef is one of the most important commodities for the society. Beef consumption rate in West Java is above the national average consumption level, yet the beef prices in West Java still experiencing fluctuations until now. The condition of unstable price could give a negative impact to the economy actors. The purpose of this study is to analyze what factors affect the beef prices in West Java. The data for this study were secondary time series data from 2003 to 2020. Error Correction Model (ECM) method is used in this study. The result of this study showed, in the long term the price of chicken meat and international beef price had a positive and significant effect on the beef price in West Java, and in the short term the population of beef cattle had a negative and significant effect on the beef price in West Java.","beef, ECM, price fluctuations, price "
"ANALISIS VOLATILITAS HARGA PANGAN
KOMODITAS HORTIKULTURA SEBELUM DAN
SAAT PANDEMI COVID-19",2022,CAHAYA MALEM ULINA SEMBIRING,"Horticultural commodities such as shallots, red chilies, and cayenne peppers experienced highly fluctuating prices during 2019 – 2021. Demand for these commodities has an inelastic nature so prices tend to be volatile. This study aims to analyze the price volatility of shallots, red chilies, and cayenne peppers and analyze the influencing factors during the 2019-2020 period. The method used is coefficient of variation (CV) analysis, ARCH-GARCH, and VECM. The results of the research using CV analysis showed that the fluctuations of the three commodities were still within reasonable limits. Factors that affect changes in Indonesian shallot prices in the short term are only domestic shallot prices, while in the long term the factors influencing changes in Indonesian shallot prices are exchange rates, interest rates, and inflation. For red chili, the only influencing factor in the short term is inflation, while in the long term the factors that influence changes in the price of red chili are inflation, interest rates, and exchange rates. The results of the IRF show that the shock of the factor variables to changes in the prices of Indonesian shallots and red chilies varies between periods. The results of the FEVD for the next five years show that all variables have a contribution percentage in influencing changes in the prices of Indonesian shallots and red chilies.","ARCH-GARCH, Cayenne Pepper, Onion, Red Chili, Volatility"
"PENGARUH HARGA CABAI RAWIT DAN DETERMINAN
LAINNYA TERHADAP SPILLOVER EFFECT INFLASI
REGIONAL SEBELUM DAN SAAT PANDEMI COVID-19",2022,"LUFITA AYUWANDINI","The Covid-19 pandemic has caused shocks to macroeconomic indicators, namely inflation. The Covid-19 pandemic caused a high trade shock in horticultural crops, 8.16 percent. Cayenne pepper as a horticultural commodity with high price fluctuations is evidenced by the coefficient of variance, 66.91 percent. Fluctuations in the price of cayenne pepper affect inflation. Inflation control is needed to maintain economic stability. This study aims to determine the determinants of regional inflation from the monetary side, namely credit rate and MSME loans. Non-monetary side, cayenne pepper price, the provincial minimum wage, infrastructure and the Covid-19 pandemic on regional inflation. This study also aims to analyze the effect of spatial interaction on the spillover effect of regional inflation. This study uses data from 34 provinces in Indonesia for 2018-2021 and is analyzed using the spatial panel method with the best model Spatial Autoregressive. The results showed that cayenne pepper price and the provincial minimum wage positively affected regional inflation. Credit rates, MSME loans, and the Covid-19 pandemic negatively affected regional inflation. The results also show that spatial interaction between neighbouring provinces affects a region's regional inflation rate which causes a spillover effect of regional inflation.","Cayenne Pepper Prices, Covid-19, Inflation, Spatial Panel, Spillover Effect"
"PENGARUH HARGA BERAS DAN DETERMINAN LAIN
TERHADAP SPILLOVER EFFECT INFLASI ANTAR
IBU KOTA PROVINSI DI INDONESIA",2022,HANIFATUR RODHI’AH,"The Covid-19 pandemic has an impact on changes in the balance of aggregate demand and supply for strategic food commodities, causing price fluctuations that affect the inflation rate which is the stability of the country's economy. This study aims to see the effect of the spatial interaction of rice prices and other determinations such as the provincial minimum wage, loan interest rates, MSME loans and the Covid-19 pandemic on inflation in 34 provincial capital cities in Indonesia. In addition, this study also analyzes the correlation between the spillover effects of inflation among 34 provincial capital cities in Indonesia. This study uses spatial panel analysis with the research year 2018-2021. The results showed that there was a positive spatial interaction and a significant correlation between the spillover effect of inflation. Based on the estimated rice price (significantly positive), the provincial minimum wage (significantly negative), loan interest rates (significantly negative), MSME credit (significantly negative) and the external factors of the Covid-19 pandemic (significantly negative), on spatial interactions and spillover linkages of influence inflation in 34 provincial capital cities in Indonesia."," inflation, rice prices, SAR, spatial panels, spillover effect"
